source,question,answer,rating
puzzles1_unbiased,...7.6..1.6239........4.65..8....5..9.....314..79......5..8........371.5...4...8.,845726931162395478379841652481263597926578314537914826754189263298637145613452789,0
puzzles4_forum_hardest_1905,5.....9....8.2...6.1.....7.7...8......43....8....64.9..2..3.41...3..6..2.5.2.....,576843921948721536312659874761982345294375168835164297627538419183496752459217683,5
puzzles5_forum_hardest_1905_11+,..817..9..79..4.8.1....9..4..2..3...7...9....89.7.2.3..6.2.......7.3..2.......5..,428175396579364281136829754612453879753698412894712635365281947947536128281947563,25
puzzles4_forum_hardest_1905,.1.2..3..2.3..9.......8...2.9.....7...5...9..1.79...35.....6.4..5.1..7..43.7..5..,814275396263419857579683412392851674645327981187964235728536149956148723431792568,25
puzzles4_forum_hardest_1905,2.9..3.....6.7..2..7....3.....5....8.2...9.5.....1.4..4.....5....38....1.9...6.3.,219653784346178925875924316934562178127489653658317492482731569763895241591246837,15
puzzles4_forum_hardest_1905,.1.3....93.4...2..9.6..7........2...6..1....4..1.5..8......6.5...39....1....8.7..,715324869384569217926817345578642193632198574491753682147236958863975421259481736,19
puzzles1_unbiased,...893.....7......89..2..6.4.....7....56429...31......2.3.7..........3.21....4.8.,652893417317456829894127563426319758785642931931785246263578194548961372179234685,1
01_file1,...8.....4.62.7...8...542..7..54.....5..2....6.27.8.....86...7.5.......82.7...1.3,125869437496237851873154269781546392954321786632798514348612975519473628267985143,34
puzzles4_forum_hardest_1905,.2.3...1.8....7..5..9.8.4...9.6...3.2...3.1.......5..76.29...8.98..1.6....4......,427356918831497265569281473198674532275839146346125897652943781983712654714568329,10
puzzles4_forum_hardest_1905,6.....5.8..2.8..1...5..9..22..91..7.8..7.32....7.....1...45.1.......8...5......84,691274538432586917785139462243915876816743295957862341368457129124698753579321684,21
01_file1,..8.2..6.........9.37....84...84..25....6.......5.94.64..68...2.2..94..8.....59..,918427563642358719537916284769843125354162897281579436495681372123794658876235941,48
puzzles4_forum_hardest_1905,....3.1....21.....1...98.3...5....76....75...9..3..2.........4.2..8..9...46.....3,759634182382157469164298537415982376623475891978361254591723648237846915846519723,39
01_file1,...5.21..1...96..4.95.......6....7.9...92..1.......3..2.96.1...64......1.5..4.26.,436582197127396854895174632568413729374928516912765348289631475643257981751849263,43
puzzles4_forum_hardest_1905,3..9...........5.6.6..58.9..5..89..4...7..9..2..........1.6..4......7.89.8...46..,345976812928431576167258493653189724814723965279645138591862347436517289782394651,13
01_file1,.5......1......4.83.4...6...47...5..63..4......96.7......93..65.6.4.57..9.......4,756894231291763458384251679847319526632548917519627843478932165163485792925176384,30
puzzles4_forum_hardest_1905,.5.8....4..1....2.6.....7......6........94..3.9.3.8...7.....1...4...3..9..2..5.6.,957826314831457926624139758473561892168294573295378641789642135546713289312985467,27
puzzles1_unbiased,.9.5.4...4...1......2..7.818.......6..7..23..3..7.......4.398......5.29...5......,198524637473816529652397481829143756547962318361785942214639875786451293935278164,0
01_file1,2..75...9.53..9.......43.2....4.5..7..9....8...4....15.3....7..79.....524....2...,248751369653289174917643528186425937529317486374968215832596741791834652465172893,21
puzzles1_unbiased,37.5...9...2....8.5...9..4....95......9.16..5.....3.....12..7..7.4..83...2.......,378524691942631587516897243463952178289716435157483926831245769794168352625379814,1
puzzles4_forum_hardest_1905,.9.8...51.....98......5...7........34.56.3....8..1.5...7..9.1....94...2.2.6......,793862451541739862628154397967548213415623789382917546874296135139475628256381974,15
puzzles4_forum_hardest_1905,.965.....4...96..7..7...........35.........2...8.54..98..1...3..6..89..4..4...8..,296578143451396287387412695649823571735961428128754369872145936563289714914637852,14
puzzles4_forum_hardest_1905,5...2..1....6.95....9....36.5..7.....741...2.1....2...4...5..7..85.....3.....38..,536827419741639582829415736952374168374186925168592347493258671685741293217963854,28
01_file1,.2..1..63.6..8..7...7.2.8.16.1...7....2..1.3.8..2.........49.8.7......1...3.....2,928714563164385279357926841631598724572461938849273156215649387796832415483157692,44
puzzles1_unbiased,....3.6...9.6........7.921..7.82....3..4....2.5...6..8....4...14....1.5.98....7..,712534689895612437643789215179823546368457192254196378537248961426971853981365724,4
puzzles4_forum_hardest_1905,..........5..42..9.6987......3...4..........2.2..14.5..1..592.....7...1.6......95,231596784857142369469873521193285476584967132726314958318659247945728613672431895,31
puzzles1_unbiased,...8..6..2..9....1.....2.5.....7.....8..632....71.....3.....4.917...6..2.5..8....,795831624246957831813642957432578196981463275567129348328715469174396582659284713,4
puzzles2_17_clue,..4...........3......2.8..9.....2..8.76........5.....3.......7.8...1.......54..6.,934751286628493517157268439491632758376985124285174693549826371862317945713549862,0
puzzles1_unbiased,.9.....2.2......85...75.6.......64....4..1.36.....8.1.54..9.2...7.16..9.9.......3,495683127267419385183752649721936458854271936639548712548397261372165894916824573,0
puzzles1_unbiased,7..43.....5..9..7..98..7..2...9...8.....7..4.98..1.....2..53.....32..6.4..9...3..,712438569356192478498567132641925783235876941987314256124653897573289614869741325,1
puzzles4_forum_hardest_1905,.3.7..8..7....2....86.4..7...1.....46..2..38.....9.5.14..6...3.......9......25...,132769845745182693986543172591836724674251389823497561459618237218374956367925418,21
01_file1,58.6..9.....85...3..3.49.8..9....7.2..59......4..3.....36.84.9.8..........45.6...,581623974469857213273149685398415762715962348642738159136284597857391426924576831,59
puzzles1_unbiased,1.....8...6...9...4573...9.7..2.8..1..34..9.....9.324..3..4......1...36..8.......,192654873368729415457381692749268531623415987815973246936547128571892364284136759,1
puzzles1_unbiased,3.....78..48.3...9....7.6...2...6.....17....5.5....46.........2.63..4..72.....39.,396425781748631259512879634429356178631748925857192463175963842963284517284517396,0
01_file1,.1.....6.98.3.......719..3.3.9.68...86...1....71.3......687.5.47..........8..9..6,513487962984326157627195438359768241862541793471932685296873514735614829148259376,38
01_file1,..3...29.7.95...31......7.5....7..2.57......39..13....3......5.1..4.8.7..2.3..1..,453781296789562431216943785631879524578624913942135867394217658165498372827356149,15
puzzles4_forum_hardest_1905,....3..6..2...95....78.....1...6..9...2.....7.8...43..2...45.....4..39...5.1....4,591432768826719543347856129173568492462391857985274316238945671714623985659187234,8
01_file1,8...36.19..39..2.6...2.1......3..9..1....8....691.2.83.5.6......7.............1.5,842536719513987246697241538285364971134798652769152483451623897976815324328479165,27
puzzles4_forum_hardest_1905,7...9.....4...8.....51..3...7....65.6....9.1...16....3..29...6...724.53.4.......2,716392485349758126825164397278431659634529718591687243152973864987246531463815972,24
01_file1,36..8.1.51..........9.6.....5.1....2.1...59......3...4...8.9.....53....99...563.8,367982145128543697549761283653194872814275936792638514436829751285317469971456328,31
puzzles1_unbiased,2........75..6..43..91........81...2..62..3........651..53......3.5...29.12.9.7..,264735198751968243389142567543816972176259384928473651495327816637581429812694735,2
puzzles1_unbiased,....3..5.92.6..............36...2.14..7...2...9..167...3..6.1.72.8.7.4..7..1.8...,871439652923657841654821379365782914187943265492516738539264187218375496746198523,0
puzzles5_forum_hardest_1905_11+,3....48....9.1...54......2...7..5.3..9......71...7.9....1.5...3.....86...2.6.....,315264879289317465476589321647925138893146257152873946961452783534798612728631594,38
puzzles4_forum_hardest_1905,.2.5.1..63.....1....1..3.52..34.29.........4..4..9.2.7..26.95...8.......9...5....,824571396375926184691843752763482915259167843148395267412639578587214639936758421,16
puzzles1_unbiased,...7.9..86..8......2.16.9...7...8.2.8.1...3.5.6.............1.6.879.....2....4.37,314729568659843712728165943973458621841692375562371489435287196187936254296514837,0
puzzles4_forum_hardest_1905,......6....43....97.95...23..74.5..25...8.....4...1.5.........44..9..23...2...97.,351249687624378519789516423167435892593682741248791356975823164416957238832164975,3
01_file1,.9...6....16...75...3.2.........2.....831.9...6.8.9.1.9..2.863..8.63........91...,794586321216943758853127469179462583428315976365879214941258637587634192632791845,8
01_file1,...52...6...3.6.......14...2.54..13.34.2......61.5.....24...79...3....2..1.....6.,478529316152376984936814572295467138347281659861953247624138795783695421519742863,43
puzzles4_forum_hardest_1905,....6...5.....3.7..8.9..6..84.....6.91.........21..4......7...6.2...5.3.1..2..8..,273461985694583172581927643845792361916348527732156498359874216428615739167239854,42
puzzles4_forum_hardest_1905,....3...1.4.5..3...321..7...2...9..8..738.2......1.....73....6..54......2..4..5..,789632451146597382532148796321759648497386215865214937973825164654971823218463579,65
puzzles4_forum_hardest_1905,.....3.7.........4.6.9.75...81.7....6..1.58...95..8...9...2..3..1.........65.19..,852413679179652384364987521281379456637145892495268713948726135513894267726531948,9
puzzles4_forum_hardest_1905,...5....7...6..9..9...1.62.3..7....6.1..4..3.......8....3.2..9.24......819...5...,632594187481672953975318624354789216819246735726153849563827491247931568198465372,19
puzzles4_forum_hardest_1905,.64..79..3......649......7.....2..9..19..4..65.....1.....78...9..7..6.1..5.......,264817953371952864985643271736128495819574326542369187123785649497236518658491732,61
puzzles5_forum_hardest_1905_11+,....2..8..3....52....9....7..91.......4.....1.5..6.2...8..5.6.......8.3...74.....,175324986938617524642985317829143765364572891751869243483251679516798432297436158,11
01_file1,..5..473.27..........9...52..2..........6...99..71.24...7...3...4.5....732..9.4..,895124736271356984634978152752439861413862579986715243567241398149583627328697415,12
01_file1,7..19.6....6..7.18.3..8....54.6.......3...9....78....3...7....1...9..87......3..6,758192634926347518134586729541639287283471965697825143462758391315964872879213456,13
puzzles4_forum_hardest_1905,9...6.1.2.2.....4..8.2....6.....3..73..6..5....8.51....4.9....31....69.........7.,937864152621539748485217396519423867374698521268751439746985213152376984893142675,26
puzzles4_forum_hardest_1905,.8.1.97.4....7.8.....8...1.5..3.1....1..9.54..9..4..8..6..1..7.4.......6..2..6...,385129764921674835674853219548361927716298543293547681869415372437982156152736498,5
puzzles4_forum_hardest_1905,...74.......82..6..2...97..1..4...3..8..9.2....5.......5.28.4.........5..7.9..8.3,518746392749823561326519784197452638684391275235678149953287416862134957471965823,56
01_file1,..4...1.5.6..3..9......2..6..8.6..2.2.6.48...4....9....836.........239..9..8.4..3,324976185865431792179582346518367429296148537437259861783695214641723958952814673,30
puzzles4_forum_hardest_1905,..6.2..8....3....42....76....7.8..621....28.....4....3..9.....67...5..9...12.95..,316924785978365214245817639457183962163592847892476153589731426724658391631249578,23
puzzles1_unbiased,..........9..6..78...9.7..3..8...59.1....3.........6.2..6.1....73...82..2....48..,487135926593462178621987453348726591162593784975841632856219347734658219219374865,6
01_file1,...5...833....21...89...2.......852.5..92..31.1..3...8..6....59.5...9.....48.....,621594783345782196789316245493168527568927431217435968176243859852679314934851672,54
01_file1,.1..3.9.83......71..87..4..4......8...1.....98.3.26..77.........89....13..43...9.,617534928342968571958712436476159382521873649893426157735291864289645713164387295,35
01_file1,4..38.........62...3...1.........4.33..8...9......285..839....49.....5..5.2.4....,429385716157496238836721945268519473315874692794632851683957124941263587572148369,22
puzzles4_forum_hardest_1905,..2..........31..5.3.9...7...4.9.8...6.4.7.9..793...6....6..7...4...39.6....4..3.,652874319798231645431965278324196857865427193179358462513689724247513986986742531,30
puzzles4_forum_hardest_1905,.....931.3...4...7.6...384..5...2...7...1..8...69..........8.7.8...3.4...2.5.....,487629315395841267261753849958462731742315986136987524514298673879136452623574198,29
puzzles4_forum_hardest_1905,.......4...14..5.3....5.2.1...2.7..9..9.4..2..6...9.....3.25.1.9.5.1..3.1.....8..,356172948721498563498653271514267389839541726267389154683925417975814632142736895,38
puzzles4_forum_hardest_1905,.1..3.8.78..1........8...15.6..9.7....4..2....9..7.6.49.7.1.....3.......6.1..39..,516934827823157496749826315165498732374562189298371654987615243432789561651243978,9
01_file1,..4...32...3.7..61......4.721......3..63..7....7..6.42.7...31..6..8.9...4........,764915328583274961129638457215487693846392715397156842972543186631829574458761239,7
puzzles2_17_clue,.....7...........3.9....5..4..........325.6..6.7...8...2.3............4.....6..7.,368527491245198763791643582412786935983254617657931824824379156576812349139465278,0
puzzles4_forum_hardest_1905,.5....34.1..4..5..2...5...1..9..7....1.2....3.......6..3.57...4.....8....2.3.4..7,956781342187423596243956871569137428418269753372845169631572984794618235825394617,14
puzzles4_forum_hardest_1905,4..1....8..725.1...1...9.7.....31...9..6....2.3....5...68.....92.....8...498..6..,425176938397258164816349275582431796971685342634792581768513429253964817149827653,4
puzzles4_forum_hardest_1905,5...9.8.4..7..4.1..9..8..759...4...8......3....4..2...6..9.5.8.....6.....5.4.8..6,516297834387654912492183675975346128268519347134872569643925781829761453751438296,58
puzzles4_forum_hardest_1905,7..2..4......8..6..9...5..24.7.......531......1...2..3.....38......6..7...19....5,765231498132489567894675132487356219253197684916842753549713826328564971671928345,21
puzzles4_forum_hardest_1905,.....8.6...2...15.6...1...7.9.2....3..3..4...5...3..7.3...5.7....8.......4...9.31,157928364932647158684513297496275813873194526521836479369451782718362945245789631,25
puzzles1_unbiased,......5....2...94...593..68....5.7.6...7.....1..8....3.4.6.....89..2....25..4..7.,918476532632185947475932168384251796529763481167894253743619825896527314251348679,2
puzzles1_unbiased,4.1...2.5..8..61............7..9.4.....2...81.82.6..9...3.846......2.....6...5..7,431879265528346179796512348375198426649253781182467593913784652857621934264935817,0
01_file1,.58.9..........3..4...2..6....94.62.6.....9.4...6...73.6.2.......24...97.4..73...,758396142216784359493521768381947625675832914924615873867259431132468597549173286,23
puzzles1_unbiased,1...4.2........6....4..9.7....7...93.48..35.....28......68.5.....51.2948.1.......,157648239923571684684329175261754893748913562539286417496835721375162948812497356,0
puzzles1_unbiased,.7..58........6.4...5.1...38...419..16..7.45..9...2....47...36........8.......7.9,471358296389726145625914873852641937163879452794532618947285361236197584518463729,1
puzzles1_unbiased,8.7.3......6..9.1..45....7......3...423.1..9....6.4..7759...........1.......5.84.,817235964236479518945186273678593421423718695591624387759842136384961752162357849,0
01_file1,..329.....2.1.83..91..7...8....1...6...8.....8...32..5........3.....78...329...17,683294751527168394914573628345719286276845139891632475758421963169357842432986517,5
01_file1,.28.6.9.......76....6.4..1....4......9..7...1..451..69....51..44..79.......6...5.,128365947549127638736948512261439875395876421874512369683251794452793186917684253,5
puzzles1_unbiased,.8.............5.65..3.4.8....8.163.3.2.5...7.......5.....2.3...2453...87.54.....,289615473413782596576394281957841632342956817861273954698127345124539768735468129,0
